pool_address,protocol,version,token0,token1,fee,balance_raw,balance_decimal,in_holders_list
0xAC9fbdbE486F8023606b932a747BC476011B5071,uniswap,v2,0xaE6e307c3Fe9E922E5674DBD7F830Ed49c014c6B,0xdAC17F958D2ee523a2206206994597C13D831ec7,,1458572977924076945671009,1458572.977924,True
0xAB26D20964CC0284e190Bc22e67d52b8A88a3084,uniswap,v3,0xaE6e307c3Fe9E922E5674DBD7F830Ed49c014c6B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,0,0.0,False
