address,balance_raw,balance_decimal,is_pool,pool_label,tx_count,first_seen_block,last_seen_block,query_timestamp
0x52c77b0CB827aFbAD022E6d6CAF2C44452eDbc39,1321861816160557,13218618.161606,True,UNISWAP V2,1,19000022,19000022,1784404851
0x0376b46804BE07379829bb321002EC170D52cBfc,0,0.0,False,,1,19000022,19000022,1784404851
0x2dfaDAB8266483beD9Fd9A292Ce56596a2D1378D,0,0.0,False,,2,19000022,19000022,1784404851
